,7-23,7-24,7-25,7-26,7-27,7-28,7-29
Indiv day_to_day B floor,795544.6,746230.4333333333,721632.8666666667,733306.8,712238.6666666666,855996.8,799245.7333333333
Indiv all_time avg SS mid,10482991.066666666,11445834.8,11445263.0,11532455.783333333,11541266.360000001,11540616.416666666,11477350.133333333
Indiv all_time avg SS floor,10113448.666666666,10849488.266666668,10863460.666666666,10801151.5,10922534.966666667,11008402.822222224,10932025.414285714
Indiv all_time avg S+ mid,7957839.266666667,8521307.933333334,8839480.944444444,8949100.341666667,9051247.246666666,9073937.244444443,9079163.247619046
Indiv all_time avg S+ floor,7326840.366666666,7669734.683333334,7867890.8,8006927.591666667,8320460.173333333,8450995.594444444,8511367.90952381
Indiv all_time avg S mid,6447541.333333333,6768219.066666666,6947894.044444445,6993588.916666667,7071954.933333334,7115524.588888888,7112865.352380952
Indiv all_time avg S floor,5527484.233333333,5979953.383333334,6233523.922222222,6351647.941666666,6466976.0,6567994.961111112,6650060.7
Indiv all_time avg A+ mid,4075108.0,4294935.133333334,4405930.966666667,4439551.116666666,4480922.319999999,4498979.55,4495796.042857143
Indiv all_time avg A+ floor,3468094.1333333333,3702655.7,3846124.611111111,3866899.3916666666,3869556.7,3936099.5611111107,3964161.342857143
Indiv all_time avg A mid,2876983.5,3042997.15,3092706.9777777777,3117935.7333333334,3132238.3,3166572.488888889,3168562.4190476188
Indiv all_time avg A floor,2488788.8666666667,2576260.4833333334,2629786.2222222225,2647027.0833333335,2642323.04,2690620.05,2703361.6857142854
Indiv all_time avg B+ mid,1506591.5333333334,1503637.1,1492004.5555555555,1479944.4166666667,1472318.4533333334,1504520.211111111,1521297.6142857142
Indiv all_time avg B+ floor,1165813.6,1191700.0833333333,1155668.3111111112,1119239.4416666667,1107394.66,1139891.0888888887,1158348.2952380953
Indiv all_time avg B mid,989513.5666666667,972422.15,952206.0222222223,933795.8833333333,924192.6266666667,946162.2222222222,960007.9047619047
Indiv all_time avg B floor,795544.6,770887.5166666667,754469.3,749178.675,741790.6733333333,760825.0277777778,766313.7
Indiv 3_day avg SS mid,10482991.066666666,11445834.8,11445263.0,11882277.355555557,11604887.4,11635969.833333334,11403875.933333334
Indiv 3_day avg SS floor,10113448.666666666,10849488.266666668,10863460.666666666,11030385.777777778,10971232.766666668,11153344.977777777,11106523.966666667
Indiv 3_day avg S+ mid,7957839.266666667,8521307.933333334,8839480.944444444,9279520.7,9404540.122222222,9308393.544444444,9252580.455555556
Indiv 3_day avg S+ floor,7326840.366666666,7669734.683333334,7867890.8,8233623.333333333,8754277.166666666,9034100.38888889,9183955.0
Indiv 3_day avg S mid,6447541.333333333,6768219.066666666,6947894.044444445,7175604.777777778,7274445.511111111,7283155.133333334,7271900.6
Indiv 3_day avg S floor,5527484.233333333,5979953.383333334,6233523.922222222,6626369.177777778,6791657.744444445,6902466.0,7047944.377777779
Indiv 3_day avg A+ mid,4075108.0,4294935.133333334,4405930.966666667,4561032.155555556,4604913.777777778,4592028.133333334,4570789.277777778
Indiv 3_day avg A+ floor,3468094.1333333333,3702655.7,3846124.611111111,3999834.4777777777,3980824.033333333,4026074.511111111,4093843.9444444445
Indiv 3_day avg A mid,2876983.5,3042997.15,3092706.9777777777,3198253.144444444,3191732.4,3240438.0,3236064.6666666665
Indiv 3_day avg A floor,2488788.8666666667,2576260.4833333334,2629786.2222222225,2699773.1555555556,2686364.7444444443,2751453.8777777776,2778474.488888889
Indiv 3_day avg B+ mid,1506591.5333333334,1503637.1,1492004.5555555555,1471062.0444444446,1451439.3555555556,1517035.8666666667,1576435.211111111
Indiv 3_day avg B+ floor,1165813.6,1191700.0833333333,1155668.3111111112,1103714.7222222222,1051191.0444444444,1124113.8666666667,1210493.4333333333
Indiv 3_day avg B mid,989513.5666666667,972422.15,952206.0222222223,915223.3222222222,892039.6111111111,940118.4222222223,994957.2666666667
Indiv 3_day avg B floor,795544.6,770887.5166666667,754469.3,733723.3666666667,722392.7777777778,767180.7555555556,789160.4
