,8-1,8-2,8-3,8-4,8-5,8-6,8-7,8-8,8-9,8-10,8-11,8-12,8-13,8-14,8-15,8-16,8-17
Club All-Time Avg SS Mid,,,492287808.0,486675825.5,485189202.6666667,478250116.5,476823803.6,476396922.0,473828845.85714287,473742659.875,471483079.0,468373101.3,468134725.90909094,467300353.75,467767963.38461536,466592496.0714286,467003481.93333334
Club All-Time Avg SS Floor,,,449777044.0,448103903.5,450574097.3333333,448353229.25,447827826.2,450719488.6666667,451149938.14285713,449817483.875,447122347.2222222,441807582.4,438611257.54545456,439495398.6666667,436996803.7692308,434884318.5714286,433093279.0
Club All-Time Avg S+ Mid,,,395131296.0,387371162.5,388727178.3333333,388767085.25,391123802.4,388550093.8333333,389133787.5714286,388147339.875,388216130.1111111,386541384.2,384389194.45454544,383793125.8333333,382210877.46153843,381189325.5,379795699.8666667
Club All-Time Avg S+ Floor,,,369347837.0,372796572.5,372365950.0,372715769.5,369287018.0,367382042.8333333,365652573.28571427,365497772.875,365950451.1111111,363962035.9,361134500.09090906,360198077.1666667,360210286.0769231,359488812.21428573,357514927.1333333
Club All-Time Avg S Mid,,,297476584.0,294901372.5,294047559.0,293052308.75,293123049.4,290506151.5,289923073.5714286,290757739.125,291172991.6666667,290544886.9,289398157.90909094,288321157.4166667,287751594.15384614,287038126.35714287,286604040.73333335
Club All-Time Avg S Floor,,,272821346.0,268733047.0,269027532.0,270078318.5,269269449.8,266464771.5,265823417.2857143,267270807.25,267419697.2222222,267415258.5,267533171.45454547,267217869.16666666,268462617.7692308,268442826.64285713,268794464.0
Club All-Time Avg A+ Mid,,,160879152.0,161381515.5,160380153.0,158729143.0,156998813.8,155683233.5,155143061.2857143,155480830.75,155701781.44444445,155360527.1,154637254.63636363,153829019.5,153072917.53846154,152506064.5,152169727.66666666
Club All-Time Avg A+ Floor,,,128425841.0,128500757.0,130282814.33333333,130943285.5,130525837.2,130056175.0,130796703.28571428,132058307.375,132259786.22222222,132420029.0,132130300.54545455,131797566.5,131248698.53846154,131012133.85714285,131387176.66666667
Club All-Time Avg A Mid,,,101568902.0,102000937.0,101921558.0,101196324.0,99967420.8,98734640.33333333,98374965.71428572,98477816.25,98705297.0,98783204.7,98317348.0909091,97839495.91666667,97387332.0,97035707.71428572,96767147.13333334
Club All-Time Avg A Floor,,,79650967.0,79236206.5,79182719.66666667,78691211.0,78923191.6,78533793.16666667,78610891.57142857,78890301.375,79287430.44444445,79345247.6,79221936.63636364,78943885.0,78621654.6923077,78328415.14285715,78311278.86666666
